EVENT_START,EVENT_END,PERIOD_START,PERIOD_END,COUNTRY,STOREREGION,STORE,PS_BU,TEAM_NAME,TEAM,SUBTEAM_NAME,SUBTEAM,BRAND,NAT_UPC,ITEM_DESCRIPTION,SIZE,UOM,CURRENCY,UNIT_SALES,DOLLAR_SALES,DOLLARALLOWANCE,PERCENTALLOWANCE,TOTALDOLLARALLOWANCE,TOTALPERCENTALLOWANCE,TOTALALLOWANCE,PRIMEID,BILL_TYPE,EVENT_ID,SCANBACK_DESCRIPTION
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Virginia Beach,10466,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,North Miami,10477,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Tysons,10049,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,East Lansing,10541,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Exton,10660,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Jericho,10161,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,3.00,20.97,0.45,0.00,1.35,0.00,-1.35,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Plymouth Meeting,10249,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,White Plains,10163,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Pittsburgh,10694,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Willowbrook,10573,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
